FUNCION,NOMBRE_Y_APELLIDOS,ORGANIZACION
consejal,ALBERTO RECARTE GARCIA ANDRADE,Partido Popular
consejal,ALEJANDRO COUCEIRO OJEDA,CEIM
consejal,ANGEL EUGENIO GOMEZ DEL PULGAR PERALES,PSOE
consejal,ANGEL RIZALDOS GONZALEZ,Izquierda Unida
consejal,ANTONIO CAMARA EGUINOA,Partido Popular
consejal,ANTONIO REY DE VINAS SANCHEZ-MAJESTAD,CC OO
consejal,ANTONIO ROMERO LAZARO,PSOE
consejal,ARTURO LUIS FERNANDEZ ALVAREZ,CEIM
consejal,BELTRAN GUTIERREZ MOLINER,Partido Popular
consejal,CANDIDO CERON ESCUDERO,Partido Popular
consejal,RAFAEL DARIO FERNANDEZ YRUEGAS MORO,Partido Popular
consejal,RAFAEL EDUARDO TORRES POSADA,UGT
consejal,ESTANISLAO RODRIGUEZ-PONGA SALAMANCA,Partido Popular
consejal,FERNANDO SERRANO ANTON,Partido Popular
consejal,FRANCISCO BAQUERO NORIEGA,CC OO
consejal,FRANCISCO JAVIER LOPEZ MADRID,CEIM
consejal,FRANCISCO JOSE MOURE BOURIO,Partido Popular
consejal,FRANCISCO JOSE PEREZ FERNANDEZ,PSOE
consejal,GABRIEL MARIA MORENO FLORES,CC OO
consejal,GERARDO DIAZ FERRAN,CEOE
consejal,GONZALO MARTIN PASCUAL,UGT
consejal,GUILLERMO RICARDO MARCOS GUERRERO,Patronal (Unipyme)
consejal,IGNACIO DE NAVASQUES COBIAN,Conf. de Cuadros
consejal,IGNACIO DEL RIO GARCIA DE SOLA,Partido Popular
consejal,IGNACIO VARELA DIAZ,PSOE
consejal,JAVIER DE MIGUEL SANCHEZ,Partido Popular
consejal,JESUS PEDROCHE NIETO,Partido Popular
consejal,JOAQUIN GARCIA PONTES,PSOE
consejal,JORGE GOMEZ MORENO,PSOE
consejal,JORGE RABAGO JUAN ARACIL,Partido Popular
consejal,JOSE ACOSTA CUBERO,PSOE
consejal,JOSE ANTONIO MORAL SANTIN,Izquierda Unida
consejal,JOSE CABALLERO DOMINGUEZ,PSOE
consejal,JOSE LUIS ACERO BENEDICTO,Izquierda Unida
consejal,JOSE MANUEL FERNANDEZ NORNIELLA,Partido Popular
consejal,JOSE MARIA ARTETA VICO,PSOE
consejal,JOSE MARIA BUENAVENTURA ZABALA,Partido Popular
consejal,JOSE MARIA DE LA RIVA AMEZ,PSOE
consejal,JOSE MARIA FERNANDEZ DEL RIO,Partido Popular
consejal,JOSE NIETO ANTOLINOS,Partido Popular
consejal,JOSE RICARDO MARTINEZ CASTRO,UGT
consejal,JUAN EMILIO IRANZO MARTIN,Partido Popular
consejal,JUAN JOSE AZCONA OLONDRIZ,CC OO
consejal,JUAN GOMEZ CASTANEDA,Izquierda Unida
consejal,LUIS BLASCO BOSQUED,Partido Popular
consejal,MANUEL JOSE RODRIGUEZ GONZALEZ,Partido Popular
consejal,MARIA CARMEN CAFRANGA CAVESTANY,Partido Popular
consejal,MARIA ENEDINA ALVAREZ GAYOL,PSOE
consejal,MERCEDES ROJO IZQUIERDO,Partido Popular
consejal,MIGUEL ANGEL ABEJON RESA,UGT
consejal,MIGUEL ANGEL ARAUJO SERRANO,Partido Popular
consejal,MIGUEL CORSINI FREESE,Partido Popular
consejal,MIGUEL MUNIZ DE LAS CUEVAS,PSOE
consejal,PABLO ABEJAS JUAREZ,Partido Popular
consejal,PEDRO BEDIA PEREZ,CC OO
consejal,PEDRO BUGIDOS GARAY,Comisión de Control
consejal,RAFAEL PRADILLO MORENO DE LA SANTA,Partido Popular
consejal,RAMON ESPINAR GALLEGO,PSOE
consejal,RICARDO ROMERO DE TEJADA Y PICATOSTE,Partido Popular
consejal,RODOLFO BENITO VALENCIANO,CC OO
consejal,RUBEN CRUZ ORIVE,Izquierda Unida
consejal,SANTIAGO JAVIER SANCHEZ CARLOS,PSOE
consejal,VIRGILIO ZAPATERO GOMEZ,PSOE
consejal,MARIA MERCEDES DE LA MERCED MONGE,Partido Popular
directivo,ILDEFONSO JOSE SANCHEZ BARCOJ,NA
directivo,RICARDO MORADO IGLESIAS,NA
directivo,MIGUEL BLESA DE LA PARRA,NA
directivo,RAMON FERRAZ RICARTE,NA
directivo,MATIAS AMAT ROCA,NA
directivo,MARIANO PEREZ CLAVER,NA
directivo,ENRIQUE DE LA TORRE MARTINEZ,NA
directivo,JUAN MANUEL ASTORQUI PORTERA,NA
directivo,CARMEN CONTRERAS GOMEZ,NA
directivo,CARLOS MARIA MARTINEZ MARTINEZ,NA
directivo,CARLOS VELA GARCIA,NA
directivo,RAFAEL SPOTTORNO DIAZ CARO,NA
directivo,LUIS GABARDA DURAN,NA
directivo,RAMON MARTINEZ VILCHES,NA
directivo,MARIA ELENA GIL GARCIA,NA
directivo,RODRIGO DE RATO FIGAREDO,NA
directivo,JOSE MARIA GARCIA ALONSO,NA
directivo,JOSE CARLOS CONTRERAS GOMEZ,NA
directivo,DOMINGO NAVALMORAL SANCHEZ,NA
